Name,Image URL,Product URL,Price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless,Specs Number
ID-COOLING FROSTFLOW X,https://m.media-amazon.com/images/I/419IYEufh7L.jpg,https://pcpartpicker.com/product/Lx3gXL/id-cooling-frostflow-x-768-cfm-liquid-cpu-cooler-frostflow-x-280,$59.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Corsair iCUE LINK H170i LCD,//cdna.pcpartpicker.com/static/forever/images/product/2c126dcedfa20893fc265aea27ea204f.256p.jpg,https://pcpartpicker.com/product/nVCZxr/corsair-icue-link-h170i-lcd-825-cfm-liquid-cpu-cooler-cw-9061009-ww,$289.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Noctua NH-D12L,https://m.media-amazon.com/images/I/51d7un7JmNL.jpg,https://pcpartpicker.com/product/MvGbt6/noctua-nh-d12l-6009-cfm-cpu-cooler-nh-d12l,$89.95 ,Noctua,N/A,NH-D12L,450 - 2000 RPM,18.8 - 22.6 dB,Beige / Brown,145 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Noctua NH-L9a-AM4 chromax.black,https://m.media-amazon.com/images/I/419VnDiR9tL.jpg,https://pcpartpicker.com/product/HZXYcf/noctua-nh-l9a-am4-chromaxblack-338-cfm-cpu-cooler-nh-l9a-am4-chromaxblack,$54.95 ,Noctua,N/A,NH-L9a-AM4 chromax.black,600 - 2500 RPM,14.8 - 23.6 dB,Black,37 mm,"AM4, AM5",No,No,9
ARCTIC Liquid Freezer III A-RGB,https://m.media-amazon.com/images/I/31-DNbqup4L.jpg,https://pcpartpicker.com/product/syrqqs/arctic-liquid-freezer-iii-a-rgb-699-cfm-liquid-cpu-cooler-acfre00143a,$127.99 ,ARCTIC,N/A,ACFRE00143A,200 - 1900 RPM,N/A,Black,N/A,"AM4, AM5, LGA1700",Yes - 280 mm,No,7
Corsair H100,//cdna.pcpartpicker.com/static/forever/images/product/57af7f998a4c9485bf1bbfa0af791310.256p.jpg,https://pcpartpicker.com/product/khnypg/corsair-h100-4773-cfm-liquid-cpu-cooler-cw-9060053-ww,,Corsair,H100,CW-9060053-WW,1500 RPM,18 - 26.5 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
ARCTIC Freezer 36 A-RGB,https://m.media-amazon.com/images/I/41hix48ZmXL.jpg,https://pcpartpicker.com/product/L9dG3C/arctic-freezer-36-a-rgb-cpu-cooler-acfre00124a,$33.10 ,ARCTIC,N/A,ACFRE00124A,200 - 2000 RPM,N/A,Black,159 mm,"AM4, AM5, LGA1700",No,No,8
Thermalright Assassin Spirit 120 EVO DARK,https://m.media-amazon.com/images/I/41e3ob6-J3L.jpg,https://pcpartpicker.com/product/khJp99/thermalright-assassin-spirit-120-evo-dark-704-cfm-cpu-cooler-as120-evo-dark-d6-de,$20.90 ,Thermalright,Assassin Spirit 120 EVO DARK,"AS120 EVO DARK D6-DE, AS120 EVO DARK, AS120 EVO DARK D6",1850 RPM,27 dB,Black,156 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Noctua NH-U12S,//cdna.pcpartpicker.com/static/forever/images/product/351c9a441cd970d83faee6f581d07f73.med.256p.jpg,https://pcpartpicker.com/product/wjmLrH/noctua-nh-u12s-55-cfm-cpu-cooler-nh-u12s,$74.95 ,Noctua,N/A,NH-U12S,300 - 1500 RPM,18.6 - 22.4 dB,N/A,158 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,8
ID-COOLING IS-47-XT,https://m.media-amazon.com/images/I/415xEknFdLL.jpg,https://pcpartpicker.com/product/zPn9TW/id-cooling-is-47-xt-46-cfm-cpu-cooler-is-47-xt,$29.99 ,ID-COOLING,N/A,IS-47-XT,800 - 2800 RPM,32.5 dB,Black,47 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Thermalright Frozen Prism ARGB,https://m.media-amazon.com/images/I/31fkQD4JHwL.jpg,https://pcpartpicker.com/product/YdGhP6/thermalright-frozen-prism-argb-704-cfm-liquid-cpu-cooler-frozen-prism-240-white-argb,$47.90 ,Thermalright,N/A,Frozen Prism 240 White ARGB,1850 RPM,27 dB,White,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
NZXT Kraken 280 RGB,//cdna.pcpartpicker.com/static/forever/images/product/fdbcdb1f3901185c7b550be9eb7b41d7.256p.jpg,https://pcpartpicker.com/product/JVwmP6/nzxt-kraken-280-rgb-9079-cfm-liquid-cpu-cooler-rl-kr280-w1,$182.99 ,NZXT,Kraken 280 RGB,RL-KR280-W1,500 - 1500 RPM,34.48 dB,White,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 280 mm,No,10
Asus ROG STRIX LC II ARGB,https://m.media-amazon.com/images/I/31tS0Wq4EeL.jpg,https://pcpartpicker.com/product/Q2D7YJ/asus-rog-strix-lc-ii-argb-8095-cfm-liquid-cpu-cooler-rog-strix-lc-ii-360-argb-white-edition,$135.69 ,Asus,N/A,"ROG STRIX LC II 360 ARGB WHITE EDITION, ROG STRIX LC II 360 ARGB WE",800 - 2500 RPM,37.6 dB,White / Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011-3 Narrow",Yes - 360 mm,No,8
Deepcool ASSASSIN IV,//cdna.pcpartpicker.com/static/forever/images/product/eb28066a0f31df8932207001666a2253.256p.jpg,https://pcpartpicker.com/product/P4Jp99/deepcool-assassin-iv-791-cfm-cpu-cooler-r-asn4-whnnmt-g,$84.99 ,Deepcool,N/A,"R-ASN4-WHNNMT-G, ASSASSIN IV WH",500 - 1700 RPM,22.6 - 29.3 dB,White,164 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
ARCTIC Freezer 7 X,//cdna.pcpartpicker.com/static/forever/images/product/73e3a1081eb4c9154fb5c64a8e48fd1b.256p.jpg,https://pcpartpicker.com/product/4VLwrH/arctic-freezer-7-x-cpu-cooler-acfre00077a,$22.99 ,ARCTIC,Freezer 7 X,ACFRE00077A,300 - 2000 RPM,22.5 dB,Black / White,132 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
EK Nucleus AIO CR360 Dark,//cdna.pcpartpicker.com/static/forever/images/product/e23f385aa99b252916c494e99ea76d00.256p.jpg,https://pcpartpicker.com/product/MrvD4D/ek-nucleus-aio-cr360-dark-72-cfm-liquid-cpu-cooler-3831109900178,$237.77 ,EK,Nucleus AIO CR360 Dark,3.83E+12,550 - 2300 RPM,36 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
