Name,Image URL,Product URL,Price,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader,Specs Number
G.Skill Ripjaws V 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/dddee40fc3ea7a8cbadb191d03d07440.256p.jpg,https://pcpartpicker.com/product/qGqbt6/gskill-memory-f43200c16d16gvgb,$42.99 ,"
G.Skill
",F4-3200C16D-16GVGB,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$2.687
","
Black
","
10 ns
","
16
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Trident Z RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/2637920ac8df794b51ce1e43673ad055.256p.jpg,https://pcpartpicker.com/product/PnGbt6/gskill-trident-z-rgb-32-gb-2-x-16-gb-ddr4-4000-cl14-memory-f4-4000c14d-32gtzr,,"
G.Skill
",F4-4000C14D-32GTZR,"
DDR4-4000
","
288-pin DIMM (DDR4)
","
2 x 16GB
",N/A,"
Black
","
7 ns
","
14
","
1.55 V
","
14-15-15-35
","
Non-ECC / Unbuffered
","
Yes
",12
Corsair Vengeance RGB 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/222c13c25aa500041aa98810d5068d36.256p.jpg,https://pcpartpicker.com/product/qXFmP6/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-5600-cl40-memory-cmh64gx5m2b5600c40,$209.99 ,"
Corsair
",CMH64GX5M2B5600C40,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.281
","
Black / Gray
","
14.286 ns
","
40
","
1.25 V
","
40-40-40-77
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/2cc8f016fb3e74cb457f9457820ec1c4.256p.jpg,https://pcpartpicker.com/product/bQdG3C/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-5600-cl36-memory-cmh64gx5m2b5600c36w,$214.99 ,"
Corsair
",CMH64GX5M2B5600C36W,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.359
","
White / Black
","
12.857 ns
","
36
","
1.25 V
","
36-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
Kingston FURY Beast 8 GB,//cdna.pcpartpicker.com/static/forever/images/product/cbff70f75b5d67c6c28fce5086628059.256p.jpg,https://pcpartpicker.com/product/WjrRsY/kingston-fury-beast-8-gb-1-x-8-gb-ddr4-2666-cl16-memory-kf426c16bb8,$28.61 ,"
Kingston
",KF426C16BB/8,"
DDR4-2666
","
288-pin DIMM (DDR4)
","
1 x 8GB
","
$3.576
","
Black
","
12.003 ns
","
16
","
1.2 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
ADATA XPG GAMMIX D30 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/130c56439a930d61840845d6939f18cb.256p.jpg,https://pcpartpicker.com/product/hQPgXL/adata-xpg-gammix-d30-16-gb-2-x-8-gb-ddr4-3000-memory-ax4u300038g16a-dr30,,"
ADATA
",AX4U300038G16A-DR30,"
DDR4-3000
","
288-pin DIMM (DDR4)
","
2 x 8GB
",N/A,"
Silver / Red
","
10.667 ns
","
16
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",11
G.Skill Trident Z RGB 8 GB,https://m.media-amazon.com/images/I/41zwLxBBD9L.jpg,https://pcpartpicker.com/product/7DLFf7/gskill-trident-z-rgb-8-gb-1-x-8-gb-ddr4-3200-cl16-memory-f4-3200c16s-8gtzr,,"
G.Skill
",F4-3200C16S-8GTZR,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
1 x 8GB
",N/A,"
Black
","
10 ns
","
16
","
1.35 V
","
16-18-18-38
","
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Ripjaws V 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/185a12fd87f898ef2ce0c996bc702caf.256p.jpg,https://pcpartpicker.com/product/rhmmP6/gskill-ripjaws-v-64-gb-2-x-32-gb-ddr4-4600-cl20-memory-f4-4600c20d-64gvk,,"
G.Skill
",F4-4600C20D-64GVK,"
DDR4-4600
","
288-pin DIMM (DDR4)
","
2 x 32GB
",N/A,"
Black
","
8.696 ns
","
20
","
1.55 V
","
20-30-30-50
","
Non-ECC / Unbuffered
","
Yes
",12
Corsair Vengeance LPX 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/ea9fc5e712761bf73ac721de86674214.256p.jpg,https://pcpartpicker.com/product/GLPzK8/corsair-memory-cmk64gx4m4a2666c16,$154.99 ,"
Corsair
",CMK64GX4M4A2666C16,"
DDR4-2666
","
288-pin DIMM (DDR4)
","
4 x 16GB
","
$2.422
","
Black / Yellow
","
12.003 ns
","
16
","
1.2 V
","
16-18-18-35
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Trident Z RGB 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/712c928dba9edee5be3380b33b612b50.256p.jpg,https://pcpartpicker.com/product/pqVG3C/gskill-trident-z-rgb-64-gb-2-x-32-gb-ddr4-3200-memory-f4-3200c16d-64gtzr,$142.99 ,"
G.Skill
",F4-3200C16D-64GTZR,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 32GB
","
$2.234
","
Black
","
10 ns
","
16
","
1.35 V
","
16-18-18-38
","
Non-ECC / Unbuffered
","
Yes
",13
