Name,Image URL,Product URL,Price,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume,
Xion AXP300-001BK,https://images-na.ssl-images-amazon.com/images/I/41dJ6Rdj2tL.jpg,https://pcpartpicker.com/product/pLR48d/xion-case-axp300001bk,,Xion,AXP300-001BK,ATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"500 mm x 203 mm x 431 mm, 19.685"" x 7.992"" x 16.969""","43.746 L, 1.545 ft³",
Xion AXP600-001BK,/static/forever/img/no-image.png,https://pcpartpicker.com/product/wJ4gXL/xion-case-axp600001bk,,Xion,AXP600-001BK,ATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"2 x External 5.25"", 5 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"457 mm x 203 mm x 431 mm, 17.992"" x 7.992"" x 16.969""","39.984 L, 1.412 ft³",
Xion XON-EC001,https://images-na.ssl-images-amazon.com/images/I/41pcMkwCkVL.jpg,https://pcpartpicker.com/product/Ccn2FT/xion-case-xonec001bk,,Xion,XON-EC001-BK,ATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 5 x Internal 3.5""",7 x Full-Height,"500 mm x 203 mm x 431 mm, 19.685"" x 7.992"" x 16.969""","43.746 L, 1.545 ft³",
Zalman Z7,https://m.media-amazon.com/images/I/21195BOWMsL.jpg,https://pcpartpicker.com/product/rktCmG/zalman-case-z7,,Zalman,Z7,ATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"496 mm x 207 mm x 471 mm, 19.528"" x 8.15"" x 18.543""","48.359 L, 1.708 ft³",
Athenatech A100BB.270,https://m.media-amazon.com/images/I/1155j-C1++L.jpg,https://pcpartpicker.com/product/fXQypg/athenatech-case-a100bb270,,Athenatech,A100BB.270,HTPC,Black / Silver,270 W,None,No,USB 2.0 Type-A,Flex ATX,,"1 x External 5.25"", 1 x External 3.5"", 2 x Internal 3.5""",4 x Full-Height,"342 mm x 147 mm x 368 mm, 13.465"" x 5.787"" x 14.488""","18.501 L, 0.653 ft³",
Athenatech A100SC.270,https://m.media-amazon.com/images/I/11Ac57v1gdL.jpg,https://pcpartpicker.com/product/H8g323/athenatech-case-a100sc270,,Athenatech,A100SC.270,HTPC,Gray / Silver,270 W,None,No,USB 2.0 Type-A,"Flex ATX, Micro ATX, Mini ITX",,"1 x External 5.25"", 1 x External 3.5"", 2 x Internal 3.5""",4 x Full-Height,"342 mm x 147 mm x 368 mm, 13.465"" x 5.787"" x 14.488""","18.501 L, 0.653 ft³",
Silverstone GD04B,https://images-na.ssl-images-amazon.com/images/I/41ZJjW13leL.jpg,https://pcpartpicker.com/product/WmTmP6/silverstone-case-gd04b,,Silverstone,"GD04B, SST-GD04B",HTPC,Black,None,None,No,USB 2.0 Type-A,"Micro ATX, Mini ITX","280 mm / 11.024""","1 x External 5.25"", 2 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"323 mm x 439 mm x 150 mm, 12.717"" x 17.283"" x 5.906""","21.27 L, 0.751 ft³",
Silverstone LC10B-E,https://images-na.ssl-images-amazon.com/images/I/31sjAKDX2yL.jpg,https://pcpartpicker.com/product/rpw323/silverstone-case-lc10be,,Silverstone,"LC10B-E, SST-LC10B-E",HTPC,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","222 mm / 8.74"" With Drive Cages, 355 mm / 13.976"" Without Drive Cages","1 x External 5.25"", 7 x Internal 3.5""",7 x Full-Height,"170 mm x 429 mm x 424 mm, 6.693"" x 16.89"" x 16.693""","30.922 L, 1.092 ft³",
Silverstone LC13B-E,https://images-na.ssl-images-amazon.com/images/I/31K5nD4iRbL.jpg,https://pcpartpicker.com/product/3WqdnQ/silverstone-case-lc13be,,Silverstone,LC13B-E,HTPC,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","222 mm / 8.74"" With Drive Cages, 355 mm / 13.976"" Without Drive Cages","2 x External 5.25"", 2 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"172 mm x 429 mm x 439 mm, 6.772"" x 16.89"" x 17.283""","32.393 L, 1.144 ft³",
Silverstone ML02B-MXR,https://m.media-amazon.com/images/I/513S2BTqVKL.jpg,https://pcpartpicker.com/product/Vfzv6h/silverstone-case-ml02bmxr,,Silverstone,"ML02B-MXR, SST-ML02B-MXR",HTPC,Black / Silver,120 W,None,No,USB 2.0 Type-A,"Mini ITX, Thin Mini ITX",,"1 x External 5.25"", 1 x Internal 3.5""",,"398 mm x 375 mm x 83 mm, 15.669"" x 14.764"" x 3.268""","12.388 L, 0.437 ft³",
Xion AXP970-001BK,https://images-na.ssl-images-amazon.com/images/I/41V9dyu023L.jpg,https://pcpartpicker.com/product/wng323/xion-case-axp970001bk,,Xion,AXP970-001BK,ATX Mid Tower,Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","350 mm / 13.78""","4 x External 5.25"", 3 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"457 mm x 203 mm x 431 mm, 17.992"" x 7.992"" x 16.969""","39.984 L, 1.412 ft³",
Zalman HD160,/static/forever/img/no-image.png,https://pcpartpicker.com/product/QK9KHx/zalman-case-hd160,,Zalman,HD160,HTPC,Silver / Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"1 x External 5.25"", 1 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"160 mm x 421 mm x 436 mm, 6.299"" x 16.575"" x 17.165""","29.369 L, 1.037 ft³",
Zalman HD160XT-S,https://images-na.ssl-images-amazon.com/images/I/218XC3kVTKL.jpg,https://pcpartpicker.com/product/byPfrH/zalman-case-hd160xts,,Zalman,HD160XT-S,HTPC,Silver / Gray,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"1 x External 5.25"", 5 x Internal 3.5""",7 x Full-Height,"462 mm x 436 mm x 160 mm, 18.189"" x 17.165"" x 6.299""","32.229 L, 1.138 ft³",
Zalman HD503,https://m.media-amazon.com/images/I/31zWVzkH77L.jpg,https://pcpartpicker.com/product/Bhckcf/zalman-case-hd503,,Zalman,HD503,HTPC,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","260 mm / 10.236""","2 x External 5.25"", 3 x Internal 3.5""",7 x Full-Height,"169 mm x 450 mm x 454 mm, 6.654"" x 17.717"" x 17.874""","34.527 L, 1.219 ft³",
Broadway Com Corp 937PK,//cdna.pcpartpicker.com/static/forever/images/product/07b2e3d2405965dd314a833776ccb06c.256p.jpg,https://pcpartpicker.com/product/xZTmP6/broadway-com-corp-case-937pkblack,,Broadway Com Corp,937PK-BLACK,MicroATX Mid Tower,Black / Gray,420 W,None,No,USB 2.0 Type-A,"Micro ATX, Mini ITX",,"3 x External 5.25"", 2 x External 3.5"", 4 x Internal 3.5""",4 x Full-Height,"406 mm x 177 mm x 355 mm, 15.984"" x 6.969"" x 13.976""","25.511 L, 0.901 ft³",
NZXT Zero 2,/static/forever/img/no-image.png,https://pcpartpicker.com/product/Ps3RsY/nzxt-case-csntzero2,,NZXT,CS-NT-ZERO-2,ATX Full Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"5 x External 5.25"", 2 x External 3.5"", 6 x Internal 3.5""",7 x Full-Height,"535 mm x 210 mm x 531 mm, 21.063"" x 8.268"" x 20.906""","59.658 L, 2.107 ft³",
In Win EM035.CQ350SL,/static/forever/img/no-image.png,https://pcpartpicker.com/product/D8tCmG/inwin-case-em035cq350sl,,In Win,EM035.CQ350SL,MicroATX Mini Tower,Black,350 W,None,No,USB 2.0 Type-A,"Micro ATX, Mini ITX",,"2 x External 5.25"", 2 x External 3.5"", 1 x Internal 3.5""",4 x Full-Height,"350 mm x 190 mm x 381 mm, 13.78"" x 7.48"" x 15""","25.337 L, 0.895 ft³",
Raidmax Atlas,https://images-na.ssl-images-amazon.com/images/I/412kkauPZ7L.jpg,https://pcpartpicker.com/product/BJckcf/raidmax-case-atx295wu,,Raidmax,ATX-295WU,ATX Mid Tower,Blue / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"469 mm x 203 mm x 469 mm, 18.465"" x 7.992"" x 18.465""","44.652 L, 1.577 ft³",
Raidmax ATX-298WBP,https://m.media-amazon.com/images/I/41a6BmVgbfL.jpg,https://pcpartpicker.com/product/tkQypg/raidmax-case-atx298wbp,,Raidmax,ATX-298WBP,ATX Mid Tower,Black,500 W,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"508 mm x 190 mm x 444 mm, 20"" x 7.48"" x 17.48""","42.855 L, 1.513 ft³",
iTek LUNAR 19R2,https://m.media-amazon.com/images/I/41pN0HsB8JL.jpg,https://pcpartpicker.com/product/R4n8TW/itek-lunar-19r2-atx-mid-tower-case-lunar-19r2,,iTek,"LUNAR 19R2, ITGC19LR2",ATX Mid Tower,Black,None,Tempered Glass,Yes,None,"ATX, Micro ATX, Mini ITX","390 mm / 15.354""","3 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"435 mm x 195 mm x 470 mm, 17.126"" x 7.677"" x 18.504""","39.868 L, 1.408 ft³",
